train/verb-accuracy,train/noun-accuracy,val/verb-accuracy,val/noun-accuracy,test/verb-accuracy,test/noun-accuracy
0.1,0.1,,,,
0.1,0.0,,,,
0.3,0.0,,,,
0.2,0.0,,,,
0.3,0.0,,,,
0.2,0.1,,,,
0.1,0.0,,,,
0.1,0.1,,,,
0.3,0.1,,,,
0.2,0.1,,,,
0.0,0.0,,,,
0.2,0.2,,,,
0.4,0.0,,,,
0.3,0.0,,,,
0.3,0.1,,,,
0.1,0.0,,,,
0.0,0.2,,,,
0.2,0.1,,,,
0.0,0.0,,,,
0.1,0.3,,,,
0.4,0.0,,,,
0.2,0.0,,,,
0.2,0.0,,,,
0.3,0.3,,,,
0.1,0.2,,,,
0.5,0.2,,,,
0.1,0.3,,,,
0.4,0.0,,,,
0.3,0.1,,,,
0.1,0.1,,,,
0.2,0.3,,,,
0.3,0.1,,,,
0.1,0.2,,,,
0.1,0.2,,,,
0.2,0.4,,,,
0.1,0.1,,,,
0.1,0.2,,,,
0.1,0.0,,,,
0.3,0.1,,,,
0.4,0.3,,,,
0.5,0.4,,,,
0.3,0.2,,,,
0.3,0.2,,,,
0.3,0.3,,,,
0.2,0.1,,,,
0.0,0.3,,,,
0.1,0.2,,,,
0.3,0.1,,,,
0.4,0.0,,,,
,,0.2673107890499195,0.10950080515297907,,
,,,,0.27491961414790994,0.12540192926045016
0.2,0.1,,,,
0.7,0.3,,,,
0.2,0.4,,,,
0.2,0.1,,,,
0.4,0.2,,,,
0.0,0.2,,,,
0.4,0.3,,,,
0.3,0.3,,,,
0.4,0.3,,,,
0.1,0.3,,,,
0.4,0.6,,,,
0.2,0.1,,,,
0.2,0.2,,,,
0.2,0.2,,,,
0.5,0.3,,,,
0.6,0.3,,,,
0.3,0.2,,,,
0.3,0.4,,,,
0.3,0.3,,,,
0.3,0.4,,,,
0.4,0.2,,,,
0.2,0.1,,,,
0.2,0.4,,,,
0.2,0.5,,,,
0.0,0.6,,,,
0.6,0.6,,,,
0.5,0.2,,,,
0.2,0.6,,,,
0.5,0.2,,,,
0.3,0.2,,,,
0.4,0.2,,,,
0.4,0.4,,,,
0.2,0.2,,,,
0.4,0.4,,,,
0.2,0.4,,,,
0.7,0.3,,,,
0.3,0.3,,,,
0.7,0.5,,,,
0.4,0.3,,,,
0.3,0.1,,,,
0.5,0.4,,,,
0.2,0.7,,,,
0.5,0.3,,,,
0.4,0.5,,,,
0.3,0.5,,,,
0.6,0.2,,,,
0.2,0.2,,,,
0.4,0.2,,,,
0.2,0.2,,,,
,,0.2898550724637681,0.16586151368760063,,
,,,,0.319935691318328,0.1720257234726688
0.1,0.5,,,,
0.5,0.2,,,,
0.0,0.3,,,,
0.4,0.2,,,,
0.2,0.3,,,,
0.2,0.4,,,,
0.3,0.4,,,,
0.5,0.5,,,,
0.2,0.3,,,,
0.5,0.2,,,,
0.3,0.2,,,,
0.3,0.7,,,,
0.3,0.3,,,,
0.6,0.4,,,,
0.4,0.3,,,,
0.6,0.5,,,,
0.2,0.4,,,,
0.3,0.7,,,,
0.3,0.5,,,,
0.1,0.5,,,,
0.1,0.4,,,,
0.4,0.3,,,,
0.1,0.4,,,,
0.4,0.4,,,,
0.3,0.2,,,,
0.3,0.4,,,,
0.4,0.2,,,,
0.4,0.4,,,,
0.2,0.2,,,,
0.3,0.4,,,,
0.3,0.3,,,,
0.5,0.3,,,,
0.6,0.6,,,,
0.4,0.4,,,,
0.2,0.5,,,,
0.3,0.4,,,,
0.4,0.7,,,,
0.2,0.7,,,,
0.4,0.2,,,,
0.3,0.4,,,,
0.5,0.4,,,,
0.5,0.5,,,,
0.2,0.6,,,,
0.3,0.7,,,,
0.5,0.3,,,,
0.4,0.6,,,,
0.6,0.5,,,,
0.6,0.8,,,,
0.2,0.5,,,,
,,0.23671497584541062,0.3784219001610306,,
,,,,0.2202572347266881,0.36816720257234725
0.6,0.3,,,,
0.5,0.5,,,,
0.3,0.6,,,,
0.7,0.7,,,,
0.4,0.3,,,,
0.3,0.3,,,,
0.6,0.3,,,,
0.2,0.6,,,,
0.2,0.2,,,,
0.4,0.8,,,,
0.4,0.6,,,,
0.4,0.7,,,,
0.4,0.5,,,,
0.6,0.3,,,,
0.7,0.5,,,,
0.6,0.7,,,,
0.4,0.3,,,,
0.3,0.1,,,,
0.4,0.3,,,,
0.5,0.4,,,,
0.4,0.3,,,,
0.9,0.6,,,,
0.3,0.4,,,,
0.6,0.2,,,,
0.3,0.4,,,,
0.4,0.6,,,,
0.7,0.5,,,,
0.4,0.6,,,,
0.7,0.8,,,,
0.2,0.8,,,,
0.6,0.5,,,,
0.3,0.5,,,,
0.5,0.6,,,,
0.4,0.4,,,,
0.4,0.3,,,,
0.6,0.7,,,,
0.3,0.6,,,,
0.3,0.5,,,,
0.3,0.4,,,,
0.4,0.3,,,,
0.4,0.4,,,,
0.3,0.6,,,,
0.4,0.5,,,,
0.3,0.3,,,,
0.6,0.3,,,,
0.4,0.6,,,,
0.2,0.2,,,,
0.2,0.4,,,,
0.4,0.5,,,,
,,0.2640901771336554,0.40901771336553944,,
,,,,0.2861736334405145,0.3987138263665595
0.1,0.7,,,,
0.6,0.4,,,,
0.4,0.2,,,,
0.5,0.5,,,,
0.1,0.4,,,,
0.5,0.7,,,,
0.6,0.6,,,,
0.4,0.6,,,,
0.3,0.6,,,,
0.1,0.7,,,,
0.3,0.4,,,,
0.6,0.3,,,,
0.7,0.8,,,,
0.3,0.6,,,,
0.5,0.6,,,,
0.6,0.1,,,,
0.6,0.5,,,,
0.6,0.5,,,,
0.8,0.6,,,,
0.2,0.6,,,,
0.2,0.5,,,,
0.6,0.5,,,,
0.4,0.4,,,,
0.5,0.9,,,,
0.6,0.5,,,,
0.4,0.6,,,,
0.6,0.4,,,,
0.3,0.4,,,,
0.4,0.6,,,,
0.8,0.8,,,,
0.4,0.4,,,,
0.4,0.8,,,,
0.7,0.7,,,,
0.3,0.6,,,,
0.1,0.1,,,,
0.4,0.5,,,,
0.5,0.6,,,,
0.5,0.6,,,,
0.5,0.7,,,,
0.2,0.6,,,,
0.6,0.4,,,,
0.5,0.4,,,,
0.4,0.4,,,,
0.3,0.5,,,,
0.8,0.7,,,,
0.5,0.4,,,,
0.5,0.6,,,,
0.7,0.3,,,,
0.7,0.6,,,,
,,0.24798711755233493,0.3993558776167472,,
,,,,0.25562700964630225,0.40836012861736337
0.5,0.2,,,,
0.7,0.7,,,,
0.4,0.4,,,,
0.3,0.6,,,,
0.1,0.6,,,,
0.4,0.5,,,,
0.7,0.8,,,,
0.4,0.4,,,,
0.6,0.5,,,,
0.2,0.5,,,,
0.3,0.6,,,,
0.5,0.5,,,,
0.6,0.9,,,,
0.3,0.9,,,,
0.6,0.6,,,,
0.7,0.8,,,,
0.7,0.6,,,,
0.3,0.6,,,,
0.5,0.3,,,,
0.6,0.5,,,,
0.5,0.8,,,,
0.7,0.5,,,,
0.7,0.7,,,,
0.6,0.8,,,,
0.5,0.6,,,,
0.6,0.7,,,,
0.4,0.5,,,,
0.5,0.5,,,,
0.5,0.5,,,,
0.6,0.8,,,,
0.5,0.7,,,,
0.5,0.4,,,,
0.5,0.7,,,,
0.6,0.7,,,,
0.5,0.8,,,,
0.6,0.8,,,,
0.6,0.7,,,,
0.2,0.7,,,,
0.4,0.5,,,,
0.5,0.3,,,,
0.5,0.7,,,,
0.6,0.5,,,,
0.7,0.6,,,,
0.6,0.5,,,,
0.4,0.4,,,,
0.6,0.6,,,,
0.4,0.7,,,,
0.6,0.6,,,,
0.4,0.6,,,,
,,0.4057971014492754,0.48148148148148145,,
,,,,0.3858520900321543,0.5
0.4,0.8,,,,
0.8,0.5,,,,
0.7,0.5,,,,
0.3,0.6,,,,
0.5,0.8,,,,
0.5,0.4,,,,
0.6,0.8,,,,
0.5,0.9,,,,
0.7,0.7,,,,
0.9,0.7,,,,
0.8,0.5,,,,
0.4,0.6,,,,
0.5,0.4,,,,
0.2,0.3,,,,
0.8,0.5,,,,
0.4,0.2,,,,
0.3,0.9,,,,
0.5,0.6,,,,
0.8,0.5,,,,
0.5,0.5,,,,
0.4,0.7,,,,
0.6,0.6,,,,
0.5,0.7,,,,
0.3,0.6,,,,
0.6,0.6,,,,
0.6,0.5,,,,
0.7,0.6,,,,
0.5,0.6,,,,
0.5,0.6,,,,
0.5,0.6,,,,
0.4,0.8,,,,
0.8,0.9,,,,
0.9,0.8,,,,
0.3,0.8,,,,
0.4,0.6,,,,
0.4,0.5,,,,
0.7,0.5,,,,
0.6,0.8,,,,
0.6,0.7,,,,
0.6,0.8,,,,
0.4,0.7,,,,
0.5,0.6,,,,
0.3,0.8,,,,
0.6,0.5,,,,
0.7,0.7,,,,
0.7,0.7,,,,
0.5,0.6,,,,
0.5,0.7,,,,
0.5,0.7,,,,
,,0.38003220611916266,0.45893719806763283,,
,,,,0.38263665594855306,0.47106109324758844
0.8,0.8,,,,
0.4,0.4,,,,
0.8,0.8,,,,
0.7,0.8,,,,
0.6,0.6,,,,
0.7,1.0,,,,
0.5,0.6,,,,
0.5,0.7,,,,
0.6,0.8,,,,
0.6,0.7,,,,
0.7,0.7,,,,
0.5,0.7,,,,
