train/verb-accuracy,train/noun-accuracy,val/verb-accuracy,val/noun-accuracy,test/verb-accuracy,test/noun-accuracy
0.2,0.1,,,,
0.4,0.0,,,,
0.2,0.0,,,,
0.0,0.2,,,,
0.1,0.0,,,,
0.2,0.1,,,,
0.4,0.0,,,,
0.0,0.0,,,,
0.2,0.0,,,,
0.3,0.0,,,,
0.1,0.0,,,,
0.3,0.0,,,,
0.1,0.1,,,,
0.2,0.0,,,,
0.0,0.0,,,,
0.4,0.0,,,,
0.5,0.0,,,,
0.3,0.0,,,,
0.2,0.0,,,,
0.1,0.1,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.3,0.0,,,,
0.0,0.0,,,,
0.3,0.0,,,,
0.2,0.0,,,,
0.4,0.0,,,,
0.1,0.0,,,,
0.3,0.1,,,,
0.0,0.0,,,,
0.5,0.0,,,,
0.2,0.1,,,,
0.1,0.0,,,,
0.3,0.0,,,,
0.0,0.1,,,,
0.3,0.2,,,,
0.2,0.0,,,,
0.2,0.0,,,,
0.2,0.4,,,,
0.1,0.2,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.3,0.2,,,,
0.5,0.2,,,,
0.2,0.0,,,,
0.2,0.2,,,,
0.5,0.1,,,,
0.4,0.1,,,,
0.1,0.0,,,,
,,0.1111111111111111,0.08051529790660225,,
,,,,0.1414790996784566,0.10289389067524116
0.1,0.3,,,,
0.3,0.1,,,,
0.3,0.0,,,,
0.2,0.0,,,,
0.1,0.1,,,,
0.2,0.0,,,,
0.2,0.1,,,,
0.1,0.1,,,,
0.0,0.0,,,,
0.2,0.1,,,,
0.2,0.1,,,,
0.3,0.0,,,,
0.1,0.0,,,,
0.2,0.1,,,,
0.1,0.1,,,,
0.2,0.1,,,,
0.0,0.1,,,,
0.4,0.1,,,,
0.2,0.4,,,,
0.2,0.0,,,,
0.1,0.2,,,,
0.2,0.0,,,,
0.1,0.1,,,,
0.4,0.2,,,,
0.3,0.0,,,,
0.4,0.3,,,,
0.3,0.1,,,,
0.2,0.0,,,,
0.4,0.1,,,,
0.4,0.2,,,,
0.3,0.1,,,,
0.0,0.0,,,,
0.4,0.2,,,,
0.0,0.1,,,,
0.3,0.2,,,,
0.4,0.1,,,,
0.2,0.0,,,,
0.2,0.3,,,,
0.3,0.0,,,,
0.1,0.5,,,,
0.1,0.1,,,,
0.2,0.1,,,,
0.2,0.2,,,,
0.2,0.2,,,,
0.4,0.1,,,,
0.3,0.0,,,,
0.2,0.1,,,,
0.1,0.1,,,,
0.4,0.1,,,,
,,0.08856682769726248,0.06763285024154589,,
,,,,0.12057877813504823,0.07395498392282958
0.4,0.5,,,,
0.3,0.0,,,,
0.5,0.1,,,,
0.5,0.5,,,,
0.4,0.6,,,,
0.3,0.3,,,,
0.2,0.0,,,,
0.5,0.6,,,,
0.2,0.3,,,,
0.2,0.4,,,,
0.3,0.3,,,,
0.4,0.2,,,,
0.3,0.1,,,,
0.2,0.2,,,,
0.2,0.1,,,,
0.1,0.2,,,,
0.3,0.2,,,,
0.2,0.0,,,,
0.2,0.2,,,,
0.3,0.1,,,,
0.7,0.1,,,,
0.2,0.1,,,,
0.1,0.2,,,,
0.2,0.4,,,,
0.3,0.3,,,,
0.2,0.3,,,,
0.3,0.1,,,,
0.3,0.3,,,,
0.3,0.2,,,,
0.0,0.1,,,,
0.1,0.0,,,,
0.3,0.1,,,,
0.2,0.2,,,,
0.2,0.2,,,,
0.5,0.2,,,,
0.1,0.1,,,,
0.2,0.2,,,,
0.1,0.3,,,,
0.2,0.2,,,,
0.1,0.3,,,,
0.3,0.2,,,,
0.5,0.2,,,,
0.1,0.1,,,,
0.0,0.5,,,,
0.0,0.3,,,,
0.2,0.1,,,,
0.2,0.1,,,,
0.3,0.3,,,,
0.2,0.1,,,,
,,0.23671497584541062,0.14170692431561996,,
,,,,0.22508038585209003,0.15434083601286175
0.4,0.1,,,,
0.2,0.4,,,,
0.4,0.3,,,,
0.4,0.0,,,,
0.4,0.1,,,,
0.2,0.2,,,,
0.0,0.2,,,,
0.4,0.1,,,,
0.4,0.4,,,,
0.2,0.1,,,,
0.3,0.2,,,,
0.5,0.2,,,,
0.1,0.1,,,,
0.4,0.2,,,,
0.3,0.4,,,,
0.3,0.1,,,,
0.2,0.0,,,,
0.3,0.1,,,,
0.0,0.4,,,,
0.0,0.1,,,,
0.3,0.4,,,,
0.2,0.3,,,,
0.3,0.2,,,,
0.4,0.1,,,,
0.1,0.2,,,,
0.2,0.1,,,,
0.2,0.3,,,,
0.3,0.4,,,,
0.2,0.4,,,,
0.2,0.4,,,,
0.3,0.2,,,,
0.1,0.3,,,,
0.1,0.2,,,,
0.4,0.1,,,,
0.2,0.2,,,,
0.2,0.3,,,,
0.2,0.3,,,,
0.2,0.1,,,,
0.3,0.3,,,,
0.2,0.1,,,,
0.5,0.2,,,,
0.3,0.0,,,,
0.3,0.4,,,,
0.3,0.3,,,,
0.4,0.2,,,,
0.3,0.2,,,,
0.4,0.4,,,,
0.1,0.1,,,,
0.2,0.0,,,,
,,0.24476650563607086,0.10466988727858294,,
,,,,0.2572347266881029,0.11414790996784566
0.7,0.3,,,,
0.2,0.2,,,,
0.2,0.1,,,,
0.3,0.4,,,,
0.2,0.1,,,,
0.3,0.2,,,,
0.2,0.4,,,,
0.4,0.4,,,,
0.1,0.2,,,,
0.1,0.4,,,,
0.1,0.2,,,,
0.3,0.3,,,,
0.4,0.1,,,,
0.5,0.3,,,,
0.3,0.3,,,,
0.3,0.1,,,,
0.6,0.1,,,,
0.1,0.1,,,,
0.3,0.2,,,,
0.3,0.2,,,,
0.4,0.5,,,,
0.2,0.2,,,,
0.3,0.2,,,,
0.0,0.3,,,,
0.2,0.3,,,,
0.1,0.2,,,,
0.3,0.4,,,,
0.4,0.2,,,,
0.1,0.0,,,,
0.2,0.4,,,,
0.1,0.3,,,,
0.1,0.1,,,,
0.2,0.4,,,,
0.1,0.1,,,,
0.2,0.2,,,,
0.4,0.2,,,,
0.2,0.1,,,,
0.1,0.2,,,,
0.3,0.2,,,,
0.4,0.0,,,,
0.5,0.1,,,,
0.4,0.4,,,,
0.2,0.2,,,,
0.5,0.2,,,,
0.2,0.0,,,,
0.3,0.1,,,,
0.2,0.3,,,,
0.1,0.4,,,,
0.2,0.1,,,,
,,0.11272141706924316,0.11594202898550725,,
,,,,0.11254019292604502,0.1189710610932476
0.1,0.1,,,,
0.4,0.3,,,,
0.5,0.4,,,,
0.3,0.1,,,,
0.6,0.2,,,,
0.3,0.3,,,,
0.2,0.3,,,,
0.1,0.1,,,,
0.4,0.3,,,,
0.5,0.1,,,,
0.2,0.2,,,,
0.1,0.3,,,,
0.5,0.2,,,,
0.2,0.1,,,,
0.3,0.6,,,,
0.2,0.2,,,,
0.4,0.4,,,,
0.4,0.4,,,,
0.1,0.2,,,,
0.4,0.2,,,,
0.1,0.2,,,,
0.3,0.4,,,,
0.4,0.4,,,,
0.4,0.1,,,,
0.5,0.4,,,,
0.4,0.1,,,,
0.3,0.2,,,,
0.4,0.5,,,,
0.3,0.2,,,,
0.4,0.3,,,,
0.4,0.3,,,,
0.3,0.1,,,,
0.2,0.1,,,,
0.3,0.3,,,,
0.6,0.4,,,,
0.3,0.2,,,,
0.2,0.2,,,,
0.4,0.1,,,,
0.4,0.4,,,,
0.5,0.2,,,,
0.3,0.4,,,,
0.3,0.3,,,,
0.4,0.4,,,,
0.2,0.2,,,,
0.1,0.2,,,,
0.3,0.3,,,,
0.5,0.2,,,,
0.2,0.3,,,,
0.2,0.2,,,,
,,0.2431561996779388,0.20128824476650564,,
,,,,0.2379421221864952,0.20257234726688103
0.0,0.1,,,,
0.3,0.1,,,,
0.6,0.3,,,,
0.2,0.3,,,,
0.4,0.2,,,,
0.4,0.1,,,,
0.4,0.3,,,,
0.2,0.3,,,,
0.2,0.1,,,,
0.4,0.2,,,,
0.3,0.2,,,,
0.1,0.1,,,,
0.2,0.1,,,,
0.5,0.3,,,,
0.4,0.3,,,,
0.3,0.4,,,,
0.2,0.6,,,,
0.3,0.3,,,,
0.2,0.3,,,,
0.4,0.2,,,,
0.3,0.3,,,,
0.1,0.1,,,,
0.5,0.3,,,,
0.1,0.1,,,,
0.4,0.3,,,,
0.4,0.0,,,,
0.4,0.0,,,,
0.5,0.2,,,,
0.2,0.0,,,,
0.5,0.3,,,,
0.4,0.2,,,,
0.5,0.2,,,,
0.6,0.4,,,,
0.2,0.3,,,,
0.3,0.3,,,,
0.3,0.6,,,,
0.4,0.2,,,,
0.2,0.3,,,,
0.3,0.2,,,,
0.5,0.4,,,,
0.3,0.4,,,,
0.1,0.3,,,,
0.4,0.2,,,,
0.3,0.4,,,,
0.4,0.3,,,,
0.2,0.3,,,,
0.6,0.3,,,,
0.3,0.4,,,,
0.5,0.5,,,,
,,0.22544283413848631,0.1642512077294686,,
,,,,0.22508038585209003,0.1720257234726688
0.2,0.1,,,,
0.2,0.3,,,,
0.4,0.2,,,,
0.5,0.3,,,,
0.4,0.6,,,,
0.6,0.2,,,,
0.6,0.5,,,,
0.6,0.7,,,,
0.3,0.3,,,,
0.1,0.2,,,,
0.2,0.3,,,,
0.3,0.1,,,,
0.2,0.4,,,,
0.3,0.2,,,,
0.5,0.0,,,,
0.4,0.3,,,,
0.3,0.4,,,,
0.2,0.3,,,,
0.1,0.3,,,,
0.2,0.5,,,,
0.2,0.6,,,,
0.4,0.4,,,,
0.2,0.2,,,,
0.3,0.3,,,,
0.2,0.2,,,,
0.3,0.4,,,,
0.4,0.5,,,,
0.1,0.2,,,,
0.4,0.3,,,,
0.2,0.4,,,,
0.1,0.3,,,,
0.6,0.3,,,,
0.3,0.3,,,,
