train/verb-accuracy,train/noun-accuracy,val/verb-accuracy,val/noun-accuracy,test/verb-accuracy,test/noun-accuracy
0.2,0.0,,,,
0.1,0.0,,,,
0.5,0.1,,,,
0.0,0.1,,,,
0.1,0.0,,,,
0.3,0.0,,,,
0.1,0.3,,,,
0.4,0.0,,,,
0.1,0.1,,,,
0.2,0.0,,,,
0.4,0.0,,,,
0.2,0.1,,,,
0.2,0.3,,,,
0.1,0.0,,,,
0.1,0.1,,,,
0.6,0.0,,,,
0.4,0.2,,,,
0.3,0.2,,,,
0.3,0.0,,,,
0.1,0.0,,,,
0.2,0.0,,,,
0.0,0.2,,,,
0.3,0.2,,,,
0.3,0.0,,,,
0.3,0.1,,,,
0.0,0.0,,,,
0.2,0.1,,,,
0.3,0.1,,,,
0.1,0.0,,,,
0.2,0.2,,,,
0.2,0.2,,,,
0.2,0.2,,,,
0.1,0.1,,,,
0.2,0.1,,,,
0.1,0.2,,,,
0.2,0.1,,,,
0.3,0.2,,,,
0.2,0.1,,,,
0.1,0.1,,,,
0.3,0.0,,,,
0.1,0.1,,,,
0.0,0.1,,,,
0.3,0.1,,,,
0.2,0.4,,,,
0.3,0.0,,,,
0.0,0.1,,,,
0.0,0.1,,,,
0.1,0.1,,,,
0.0,0.1,,,,
,,0.06280193236714976,0.01932367149758454,,
,,,,0.09485530546623794,0.02572347266881029
0.0,0.1,,,,
0.1,0.2,,,,
0.0,0.3,,,,
0.2,0.3,,,,
0.1,0.0,,,,
0.3,0.0,,,,
0.2,0.2,,,,
0.3,0.0,,,,
0.4,0.4,,,,
0.3,0.2,,,,
0.0,0.1,,,,
0.3,0.0,,,,
0.5,0.1,,,,
0.2,0.1,,,,
0.1,0.1,,,,
0.3,0.2,,,,
0.1,0.2,,,,
0.2,0.4,,,,
0.1,0.3,,,,
0.2,0.2,,,,
0.2,0.1,,,,
0.3,0.0,,,,
0.0,0.2,,,,
0.2,0.1,,,,
0.1,0.0,,,,
0.5,0.0,,,,
0.2,0.1,,,,
0.2,0.3,,,,
0.2,0.0,,,,
0.2,0.1,,,,
0.1,0.0,,,,
0.5,0.2,,,,
0.2,0.1,,,,
0.2,0.1,,,,
0.1,0.1,,,,
0.2,0.0,,,,
0.3,0.1,,,,
0.1,0.1,,,,
0.4,0.1,,,,
0.3,0.6,,,,
0.0,0.1,,,,
0.3,0.1,,,,
0.1,0.2,,,,
0.4,0.1,,,,
0.4,0.4,,,,
0.3,0.2,,,,
0.1,0.4,,,,
0.3,0.3,,,,
0.2,0.2,,,,
,,0.19162640901771336,0.07568438003220612,,
,,,,0.22508038585209003,0.09485530546623794
0.1,0.2,,,,
0.1,0.1,,,,
0.3,0.4,,,,
0.1,0.1,,,,
0.1,0.2,,,,
0.4,0.2,,,,
0.2,0.2,,,,
0.1,0.2,,,,
0.1,0.3,,,,
0.4,0.0,,,,
0.4,0.1,,,,
0.1,0.2,,,,
0.2,0.3,,,,
0.2,0.0,,,,
0.1,0.4,,,,
0.2,0.0,,,,
0.1,0.2,,,,
0.2,0.1,,,,
0.0,0.2,,,,
0.1,0.1,,,,
0.3,0.1,,,,
0.4,0.3,,,,
0.1,0.4,,,,
0.1,0.3,,,,
0.3,0.2,,,,
0.2,0.4,,,,
0.2,0.2,,,,
0.2,0.2,,,,
0.3,0.2,,,,
0.4,0.0,,,,
0.2,0.3,,,,
0.3,0.2,,,,
0.2,0.2,,,,
0.0,0.2,,,,
0.4,0.3,,,,
0.1,0.1,,,,
0.4,0.3,,,,
0.5,0.1,,,,
0.2,0.2,,,,
0.3,0.0,,,,
0.6,0.4,,,,
0.2,0.0,,,,
0.1,0.1,,,,
0.3,0.3,,,,
0.1,0.1,,,,
0.2,0.1,,,,
0.3,0.1,,,,
0.4,0.3,,,,
0.2,0.3,,,,
,,0.23027375201288244,0.13687600644122383,,
,,,,0.27491961414790994,0.1495176848874598
