train/verb-accuracy,train/noun-accuracy,val/verb-accuracy,val/noun-accuracy,test/verb-accuracy,test/noun-accuracy
0.1,0.0,,,,
0.3,0.0,,,,
0.1,0.0,,,,
0.2,0.0,,,,
0.3,0.0,,,,
0.2,0.0,,,,
0.3,0.0,,,,
0.3,0.0,,,,
0.2,0.0,,,,
0.0,0.1,,,,
0.0,0.0,,,,
0.1,0.0,,,,
0.1,0.1,,,,
0.2,0.1,,,,
0.2,0.1,,,,
0.2,0.1,,,,
0.4,0.0,,,,
0.1,0.1,,,,
0.1,0.0,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.2,0.0,,,,
0.0,0.2,,,,
0.3,0.1,,,,
0.1,0.1,,,,
0.5,0.0,,,,
0.1,0.1,,,,
0.2,0.1,,,,
0.2,0.0,,,,
0.4,0.1,,,,
0.1,0.2,,,,
0.3,0.1,,,,
0.3,0.1,,,,
0.5,0.0,,,,
0.2,0.1,,,,
0.4,0.0,,,,
0.3,0.1,,,,
0.0,0.1,,,,
0.1,0.0,,,,
0.3,0.1,,,,
0.1,0.2,,,,
0.2,0.0,,,,
0.0,0.0,,,,
0.6,0.0,,,,
0.2,0.0,,,,
0.2,0.0,,,,
0.4,0.1,,,,
0.3,0.1,,,,
0.2,0.0,,,,
,,0.0499194847020934,0.043478260869565216,,
,,,,0.06270096463022508,0.04983922829581994
0.1,0.0,,,,
0.3,0.1,,,,
0.2,0.1,,,,
0.2,0.2,,,,
0.3,0.1,,,,
0.1,0.1,,,,
0.3,0.0,,,,
0.3,0.0,,,,
0.2,0.0,,,,
0.4,0.0,,,,
0.4,0.2,,,,
0.1,0.0,,,,
0.1,0.1,,,,
0.4,0.4,,,,
0.1,0.2,,,,
0.1,0.4,,,,
0.1,0.3,,,,
0.1,0.2,,,,
0.0,0.0,,,,
0.3,0.4,,,,
0.1,0.3,,,,
0.1,0.1,,,,
0.5,0.2,,,,
0.2,0.0,,,,
0.2,0.1,,,,
0.2,0.1,,,,
0.2,0.3,,,,
0.2,0.2,,,,
0.0,0.1,,,,
0.4,0.2,,,,
0.3,0.0,,,,
0.4,0.0,,,,
0.1,0.1,,,,
0.3,0.0,,,,
0.4,0.2,,,,
0.2,0.0,,,,
0.2,0.0,,,,
0.3,0.0,,,,
0.3,0.0,,,,
0.5,0.0,,,,
0.1,0.2,,,,
0.4,0.2,,,,
0.2,0.2,,,,
0.4,0.1,,,,
0.4,0.1,,,,
0.2,0.3,,,,
0.2,0.1,,,,
0.2,0.0,,,,
0.2,0.1,,,,
,,0.21900161030595813,0.05152979066022544,,
,,,,0.2282958199356913,0.04823151125401929
0.4,0.1,,,,
0.2,0.2,,,,
0.2,0.2,,,,
0.2,0.1,,,,
0.0,0.2,,,,
0.3,0.1,,,,
0.2,0.2,,,,
0.2,0.1,,,,
0.2,0.0,,,,
0.2,0.3,,,,
0.4,0.3,,,,
0.4,0.2,,,,
0.4,0.3,,,,
0.2,0.1,,,,
0.2,0.0,,,,
0.0,0.2,,,,
0.1,0.3,,,,
0.2,0.4,,,,
0.2,0.6,,,,
0.4,0.2,,,,
0.1,0.0,,,,
0.5,0.0,,,,
0.1,0.2,,,,
0.5,0.3,,,,
0.3,0.3,,,,
0.3,0.0,,,,
0.1,0.0,,,,
0.4,0.4,,,,
0.4,0.2,,,,
0.3,0.3,,,,
0.3,0.1,,,,
0.0,0.5,,,,
0.1,0.2,,,,
0.3,0.0,,,,
0.3,0.1,,,,
0.3,0.1,,,,
0.4,0.3,,,,
0.1,0.2,,,,
0.4,0.2,,,,
0.3,0.1,,,,
0.3,0.1,,,,
0.4,0.1,,,,
0.3,0.3,,,,
0.5,0.2,,,,
0.2,0.1,,,,
0.1,0.2,,,,
0.3,0.1,,,,
0.0,0.1,,,,
0.1,0.2,,,,
,,0.23510466988727857,0.0853462157809984,,
,,,,0.21864951768488747,0.08520900321543408
0.2,0.0,,,,
0.3,0.2,,,,
0.2,0.2,,,,
0.3,0.2,,,,
0.3,0.0,,,,
0.5,0.5,,,,
0.5,0.2,,,,
0.1,0.1,,,,
0.2,0.1,,,,
0.3,0.2,,,,
0.1,0.0,,,,
0.3,0.1,,,,
0.4,0.0,,,,
0.3,0.1,,,,
0.1,0.4,,,,
0.1,0.1,,,,
0.4,0.4,,,,
0.5,0.1,,,,
0.2,0.0,,,,
0.3,0.1,,,,
0.5,0.0,,,,
0.2,0.2,,,,
0.1,0.2,,,,
0.1,0.2,,,,
