train/verb-accuracy,train/noun-accuracy,val/verb-accuracy,val/noun-accuracy,test/verb-accuracy,test/noun-accuracy
0.1,0.0,,,,
0.0,0.0,,,,
0.1,0.1,,,,
0.1,0.0,,,,
0.2,0.0,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.2,0.0,,,,
0.2,0.1,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.5,0.0,,,,
0.0,0.1,,,,
0.4,0.0,,,,
0.2,0.1,,,,
0.3,0.0,,,,
0.1,0.2,,,,
0.1,0.0,,,,
0.4,0.0,,,,
0.1,0.0,,,,
0.1,0.0,,,,
0.4,0.1,,,,
0.4,0.1,,,,
0.1,0.1,,,,
0.4,0.0,,,,
0.0,0.0,,,,
0.2,0.0,,,,
0.0,0.0,,,,
0.3,0.1,,,,
0.2,0.0,,,,
0.2,0.1,,,,
0.0,0.0,,,,
0.1,0.0,,,,
0.1,0.0,,,,
0.2,0.0,,,,
0.3,0.0,,,,
0.3,0.0,,,,
0.0,0.0,,,,
0.2,0.0,,,,
0.3,0.0,,,,
0.1,0.1,,,,
0.4,0.1,,,,
0.3,0.0,,,,
0.3,0.0,,,,
0.3,0.1,,,,
0.1,0.1,,,,
0.4,0.0,,,,
0.1,0.0,,,,
0.0,0.1,,,,
,,0.13848631239935588,0.05152979066022544,,
,,,,0.16559485530546625,0.06270096463022508
0.2,0.1,,,,
0.2,0.2,,,,
0.6,0.0,,,,
0.3,0.1,,,,
0.3,0.1,,,,
0.2,0.1,,,,
0.4,0.1,,,,
0.5,0.3,,,,
0.1,0.0,,,,
0.0,0.0,,,,
0.1,0.0,,,,
0.3,0.1,,,,
0.3,0.2,,,,
0.1,0.0,,,,
0.1,0.1,,,,
0.4,0.0,,,,
0.2,0.2,,,,
0.2,0.0,,,,
0.1,0.2,,,,
0.3,0.0,,,,
0.3,0.2,,,,
0.2,0.0,,,,
0.3,0.1,,,,
0.0,0.1,,,,
0.0,0.2,,,,
0.4,0.0,,,,
0.3,0.2,,,,
0.2,0.1,,,,
0.4,0.2,,,,
0.1,0.2,,,,
0.4,0.1,,,,
0.4,0.0,,,,
0.6,0.1,,,,
0.3,0.2,,,,
0.2,0.2,,,,
0.4,0.0,,,,
0.0,0.2,,,,
0.2,0.2,,,,
0.1,0.3,,,,
0.5,0.0,,,,
0.3,0.2,,,,
0.3,0.1,,,,
0.3,0.0,,,,
0.3,0.1,,,,
0.2,0.0,,,,
0.4,0.4,,,,
0.1,0.3,,,,
0.3,0.1,,,,
0.5,0.1,,,,
,,0.2028985507246377,0.14170692431561996,,
,,,,0.21061093247588425,0.13183279742765272
0.1,0.2,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.3,0.1,,,,
0.0,0.0,,,,
0.1,0.2,,,,
0.4,0.1,,,,
0.2,0.1,,,,
0.2,0.1,,,,
0.4,0.1,,,,
0.3,0.0,,,,
0.2,0.2,,,,
0.5,0.1,,,,
0.1,0.0,,,,
0.3,0.1,,,,
0.2,0.2,,,,
0.0,0.2,,,,
0.0,0.1,,,,
0.1,0.2,,,,
0.5,0.4,,,,
0.7,0.1,,,,
0.4,0.3,,,,
0.2,0.1,,,,
0.4,0.2,,,,
0.1,0.1,,,,
0.3,0.3,,,,
0.3,0.1,,,,
0.2,0.2,,,,
0.4,0.2,,,,
0.4,0.0,,,,
0.4,0.2,,,,
0.3,0.2,,,,
0.1,0.3,,,,
0.4,0.1,,,,
0.2,0.2,,,,
0.5,0.1,,,,
0.1,0.1,,,,
0.3,0.3,,,,
0.2,0.3,,,,
0.3,0.2,,,,
0.3,0.1,,,,
0.2,0.2,,,,
0.3,0.4,,,,
0.1,0.1,,,,
0.4,0.2,,,,
0.3,0.2,,,,
0.3,0.3,,,,
0.2,0.1,,,,
0.3,0.0,,,,
,,0.25442834138486314,0.11594202898550725,,
,,,,0.26366559485530544,0.11736334405144695
0.4,0.0,,,,
0.0,0.0,,,,
0.1,0.3,,,,
0.2,0.2,,,,
0.4,0.2,,,,
0.3,0.1,,,,
0.5,0.5,,,,
0.2,0.0,,,,
0.0,0.3,,,,
0.1,0.0,,,,
0.2,0.2,,,,
0.1,0.3,,,,
0.2,0.2,,,,
0.2,0.2,,,,
0.0,0.4,,,,
0.1,0.3,,,,
0.2,0.0,,,,
0.3,0.2,,,,
0.1,0.1,,,,
0.2,0.1,,,,
0.2,0.2,,,,
0.3,0.1,,,,
0.7,0.0,,,,
0.3,0.3,,,,
0.0,0.1,,,,
0.4,0.3,,,,
0.3,0.3,,,,
0.2,0.3,,,,
0.4,0.2,,,,
0.3,0.2,,,,
0.2,0.4,,,,
0.2,0.3,,,,
0.3,0.4,,,,
0.4,0.2,,,,
0.2,0.3,,,,
0.4,0.4,,,,
0.2,0.0,,,,
0.3,0.4,,,,
0.2,0.1,,,,
0.3,0.3,,,,
0.3,0.1,,,,
0.3,0.1,,,,
0.1,0.1,,,,
0.3,0.3,,,,
0.5,0.4,,,,
0.3,0.0,,,,
0.2,0.2,,,,
0.2,0.1,,,,
0.2,0.3,,,,
,,0.23510466988727857,0.1111111111111111,,
,,,,0.2202572347266881,0.1189710610932476
0.3,0.2,,,,
0.1,0.2,,,,
0.4,0.1,,,,
0.1,0.2,,,,
0.3,0.3,,,,
0.4,0.1,,,,
0.4,0.2,,,,
0.4,0.3,,,,
0.3,0.2,,,,
0.5,0.4,,,,
0.3,0.1,,,,
0.2,0.1,,,,
0.4,0.1,,,,
0.3,0.4,,,,
0.2,0.1,,,,
0.2,0.2,,,,
0.1,0.0,,,,
0.1,0.2,,,,
0.1,0.1,,,,
0.2,0.4,,,,
0.5,0.3,,,,
0.0,0.3,,,,
0.2,0.1,,,,
0.4,0.3,,,,
0.3,0.1,,,,
0.1,0.1,,,,
0.4,0.3,,,,
0.3,0.4,,,,
0.3,0.3,,,,
0.3,0.1,,,,
0.4,0.3,,,,
0.5,0.3,,,,
0.2,0.2,,,,
0.2,0.4,,,,
0.2,0.1,,,,
0.2,0.1,,,,
0.3,0.2,,,,
0.2,0.4,,,,
0.3,0.1,,,,
0.2,0.1,,,,
0.2,0.1,,,,
0.2,0.5,,,,
0.2,0.0,,,,
0.5,0.0,,,,
0.6,0.1,,,,
0.2,0.1,,,,
0.2,0.4,,,,
0.2,0.1,,,,
0.3,0.2,,,,
,,0.20772946859903382,0.21739130434782608,,
,,,,0.1864951768488746,0.20739549839228297
