train/verb-accuracy,train/noun-accuracy,val/verb-accuracy,val/noun-accuracy,test/verb-accuracy,test/noun-accuracy
0.2,0.0,,,,
0.1,0.0,,,,
0.3,0.1,,,,
0.0,0.0,,,,
0.1,0.0,,,,
0.2,0.0,,,,
0.2,0.1,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.2,0.1,,,,
0.0,0.1,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.2,0.0,,,,
0.3,0.2,,,,
0.2,0.1,,,,
0.0,0.0,,,,
0.2,0.0,,,,
0.3,0.2,,,,
0.2,0.0,,,,
0.2,0.1,,,,
0.2,0.1,,,,
0.1,0.1,,,,
0.1,0.2,,,,
0.2,0.2,,,,
0.1,0.0,,,,
0.2,0.0,,,,
0.2,0.0,,,,
0.0,0.1,,,,
0.3,0.2,,,,
0.1,0.0,,,,
0.3,0.0,,,,
0.2,0.1,,,,
0.3,0.1,,,,
0.4,0.2,,,,
0.4,0.3,,,,
0.2,0.0,,,,
0.3,0.3,,,,
0.3,0.1,,,,
0.2,0.1,,,,
0.4,0.1,,,,
0.0,0.1,,,,
0.0,0.0,,,,
0.2,0.3,,,,
0.5,0.3,,,,
0.5,0.3,,,,
0.0,0.1,,,,
0.2,0.4,,,,
0.7,0.1,,,,
,,0.14009661835748793,0.06763285024154589,,
,,,,0.12861736334405144,0.06109324758842444
0.1,0.4,,,,
0.2,0.2,,,,
0.5,0.2,,,,
0.0,0.3,,,,
0.3,0.0,,,,
0.2,0.1,,,,
0.1,0.0,,,,
0.2,0.3,,,,
0.4,0.1,,,,
0.1,0.0,,,,
0.6,0.3,,,,
0.4,0.2,,,,
0.3,0.0,,,,
0.1,0.2,,,,
0.3,0.0,,,,
0.1,0.2,,,,
0.4,0.3,,,,
0.1,0.2,,,,
0.4,0.1,,,,
0.2,0.1,,,,
0.1,0.1,,,,
0.2,0.2,,,,
0.3,0.1,,,,
0.5,0.1,,,,
0.4,0.1,,,,
0.2,0.2,,,,
0.2,0.1,,,,
0.2,0.2,,,,
0.3,0.1,,,,
0.6,0.2,,,,
0.4,0.1,,,,
0.3,0.5,,,,
0.2,0.2,,,,
0.2,0.1,,,,
0.1,0.1,,,,
0.2,0.1,,,,
0.5,0.3,,,,
0.4,0.4,,,,
0.2,0.5,,,,
0.3,0.2,,,,
0.3,0.2,,,,
0.3,0.2,,,,
0.2,0.2,,,,
0.4,0.3,,,,
0.4,0.2,,,,
0.3,0.4,,,,
0.3,0.3,,,,
0.3,0.1,,,,
0.3,0.2,,,,
,,0.2640901771336554,0.10950080515297907,,
,,,,0.3102893890675241,0.09163987138263666
0.4,0.1,,,,
0.2,0.2,,,,
0.3,0.5,,,,
0.2,0.0,,,,
0.4,0.3,,,,
0.5,0.2,,,,
0.1,0.2,,,,
0.4,0.2,,,,
0.3,0.1,,,,
0.3,0.1,,,,
0.4,0.4,,,,
0.3,0.4,,,,
0.4,0.2,,,,
0.4,0.2,,,,
0.3,0.3,,,,
0.5,0.2,,,,
0.2,0.3,,,,
0.4,0.1,,,,
0.4,0.2,,,,
0.3,0.1,,,,
0.2,0.3,,,,
0.4,0.2,,,,
0.3,0.1,,,,
0.1,0.2,,,,
0.6,0.2,,,,
0.3,0.2,,,,
0.4,0.1,,,,
0.4,0.3,,,,
0.5,0.2,,,,
0.6,0.1,,,,
0.5,0.2,,,,
0.3,0.6,,,,
0.2,0.1,,,,
0.2,0.1,,,,
0.6,0.5,,,,
0.2,0.1,,,,
0.6,0.3,,,,
0.6,0.4,,,,
0.1,0.2,,,,
0.2,0.2,,,,
0.2,0.4,,,,
0.5,0.2,,,,
0.4,0.2,,,,
0.4,0.0,,,,
0.3,0.2,,,,
0.5,0.3,,,,
0.5,0.2,,,,
0.3,0.2,,,,
0.3,0.2,,,,
,,0.23671497584541062,0.15780998389694043,,
,,,,0.2620578778135048,0.13987138263665594
