train/verb-accuracy,train/noun-accuracy,val/verb-accuracy,val/noun-accuracy,test/verb-accuracy,test/noun-accuracy
0.5,0.0,,,,
0.2,0.0,,,,
0.3,0.0,,,,
0.2,0.0,,,,
0.4,0.0,,,,
0.1,0.1,,,,
0.1,0.0,,,,
0.1,0.0,,,,
0.0,0.0,,,,
0.1,0.1,,,,
0.5,0.0,,,,
0.2,0.0,,,,
0.5,0.2,,,,
0.1,0.1,,,,
0.1,0.1,,,,
0.2,0.0,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.3,0.1,,,,
0.3,0.0,,,,
0.2,0.0,,,,
0.0,0.0,,,,
0.2,0.0,,,,
0.0,0.0,,,,
0.3,0.0,,,,
0.1,0.0,,,,
0.2,0.1,,,,
0.3,0.0,,,,
0.1,0.1,,,,
0.2,0.0,,,,
0.4,0.0,,,,
0.4,0.0,,,,
0.2,0.1,,,,
0.2,0.3,,,,
0.3,0.0,,,,
0.2,0.1,,,,
0.0,0.1,,,,
0.2,0.0,,,,
0.2,0.1,,,,
0.3,0.0,,,,
0.3,0.0,,,,
0.1,0.1,,,,
0.1,0.1,,,,
0.1,0.1,,,,
0.3,0.1,,,,
0.5,0.0,,,,
0.1,0.3,,,,
0.4,0.1,,,,
0.2,0.0,,,,
,,0.0998389694041868,0.01932367149758454,,
,,,,0.08520900321543408,0.027331189710610933
0.1,0.2,,,,
0.5,0.0,,,,
0.4,0.2,,,,
0.0,0.1,,,,
0.0,0.1,,,,
0.0,0.0,,,,
0.4,0.1,,,,
0.4,0.0,,,,
0.3,0.1,,,,
0.1,0.0,,,,
0.4,0.3,,,,
0.2,0.0,,,,
0.1,0.1,,,,
0.1,0.0,,,,
0.1,0.1,,,,
0.5,0.0,,,,
0.0,0.0,,,,
0.6,0.1,,,,
0.1,0.0,,,,
0.0,0.1,,,,
0.1,0.1,,,,
0.3,0.1,,,,
0.3,0.1,,,,
0.0,0.1,,,,
0.2,0.0,,,,
0.2,0.2,,,,
0.4,0.2,,,,
0.1,0.1,,,,
0.1,0.2,,,,
0.4,0.0,,,,
0.1,0.0,,,,
0.2,0.1,,,,
0.5,0.0,,,,
0.2,0.1,,,,
0.3,0.1,,,,
0.2,0.0,,,,
0.3,0.0,,,,
0.4,0.0,,,,
0.1,0.3,,,,
0.3,0.2,,,,
0.2,0.1,,,,
0.3,0.1,,,,
0.2,0.0,,,,
0.3,0.1,,,,
0.3,0.1,,,,
0.2,0.0,,,,
0.3,0.1,,,,
0.1,0.1,,,,
0.3,0.1,,,,
,,0.22544283413848631,0.07246376811594203,,
,,,,0.20739549839228297,0.06430868167202572
0.4,0.0,,,,
0.3,0.1,,,,
0.1,0.0,,,,
0.2,0.0,,,,
0.3,0.1,,,,
0.2,0.3,,,,
0.1,0.2,,,,
0.2,0.0,,,,
0.2,0.3,,,,
0.2,0.0,,,,
0.4,0.2,,,,
0.4,0.2,,,,
0.0,0.3,,,,
0.3,0.1,,,,
0.1,0.1,,,,
0.0,0.0,,,,
0.6,0.1,,,,
0.2,0.1,,,,
0.2,0.0,,,,
0.2,0.1,,,,
0.3,0.1,,,,
0.4,0.1,,,,
0.1,0.1,,,,
0.3,0.1,,,,
0.2,0.1,,,,
0.3,0.1,,,,
0.2,0.1,,,,
0.2,0.3,,,,
0.3,0.0,,,,
0.0,0.0,,,,
0.1,0.2,,,,
0.1,0.1,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.2,0.2,,,,
0.5,0.0,,,,
0.2,0.1,,,,
0.3,0.2,,,,
0.3,0.0,,,,
0.2,0.2,,,,
0.3,0.1,,,,
0.3,0.0,,,,
0.2,0.2,,,,
0.3,0.1,,,,
0.0,0.4,,,,
0.0,0.1,,,,
0.2,0.3,,,,
0.4,0.0,,,,
0.5,0.3,,,,
,,0.1111111111111111,0.05475040257648953,,
,,,,0.18167202572347266,0.0594855305466238
0.3,0.0,,,,
0.3,0.3,,,,
0.6,0.2,,,,
0.6,0.1,,,,
0.6,0.1,,,,
0.2,0.1,,,,
0.3,0.1,,,,
0.3,0.4,,,,
0.2,0.3,,,,
0.2,0.0,,,,
0.4,0.1,,,,
0.6,0.4,,,,
0.1,0.2,,,,
0.2,0.2,,,,
0.2,0.1,,,,
0.4,0.3,,,,
0.3,0.1,,,,
0.5,0.2,,,,
0.3,0.2,,,,
0.3,0.2,,,,
0.1,0.0,,,,
0.1,0.1,,,,
0.2,0.1,,,,
0.2,0.1,,,,
0.4,0.2,,,,
0.5,0.3,,,,
0.1,0.2,,,,
0.3,0.1,,,,
0.2,0.3,,,,
0.4,0.1,,,,
0.4,0.4,,,,
0.2,0.3,,,,
0.2,0.1,,,,
0.3,0.4,,,,
0.2,0.1,,,,
0.2,0.0,,,,
0.1,0.2,,,,
0.5,0.1,,,,
0.1,0.2,,,,
0.3,0.1,,,,
0.2,0.3,,,,
0.1,0.2,,,,
0.3,0.1,,,,
0.0,0.2,,,,
0.5,0.1,,,,
0.0,0.3,,,,
0.1,0.0,,,,
0.1,0.3,,,,
0.5,0.3,,,,
,,0.14814814814814814,0.05152979066022544,,
,,,,0.19131832797427653,0.04662379421221865
0.3,0.2,,,,
0.2,0.4,,,,
0.4,0.3,,,,
0.3,0.2,,,,
0.2,0.4,,,,
0.2,0.2,,,,
0.2,0.1,,,,
0.2,0.1,,,,
0.5,0.2,,,,
0.3,0.5,,,,
0.4,0.2,,,,
0.4,0.2,,,,
0.2,0.3,,,,
0.5,0.1,,,,
0.1,0.1,,,,
0.6,0.3,,,,
0.4,0.2,,,,
0.1,0.1,,,,
0.1,0.0,,,,
0.3,0.4,,,,
0.3,0.2,,,,
0.4,0.0,,,,
0.2,0.1,,,,
0.1,0.1,,,,
0.2,0.2,,,,
0.2,0.1,,,,
0.0,0.2,,,,
0.1,0.3,,,,
0.4,0.3,,,,
0.3,0.2,,,,
0.3,0.4,,,,
0.2,0.3,,,,
0.1,0.3,,,,
0.8,0.3,,,,
0.3,0.2,,,,
0.4,0.2,,,,
0.0,0.3,,,,
0.2,0.1,,,,
0.1,0.0,,,,
0.3,0.0,,,,
0.3,0.0,,,,
0.1,0.1,,,,
0.3,0.0,,,,
0.4,0.4,,,,
0.5,0.1,,,,
0.4,0.2,,,,
0.3,0.4,,,,
0.5,0.1,,,,
0.4,0.1,,,,
,,0.12238325281803543,0.07246376811594203,,
,,,,0.14469453376205788,0.07877813504823152
0.1,0.1,,,,
0.2,0.0,,,,
0.2,0.2,,,,
0.3,0.2,,,,
0.3,0.2,,,,
0.6,0.4,,,,
0.3,0.3,,,,
0.3,0.2,,,,
0.2,0.2,,,,
0.4,0.0,,,,
0.2,0.0,,,,
0.6,0.2,,,,
0.3,0.4,,,,
0.3,0.3,,,,
0.2,0.1,,,,
0.5,0.2,,,,
0.2,0.2,,,,
0.3,0.3,,,,
0.1,0.2,,,,
0.3,0.2,,,,
0.2,0.1,,,,
0.3,0.2,,,,
0.1,0.2,,,,
0.2,0.2,,,,
0.3,0.4,,,,
0.1,0.2,,,,
0.0,0.2,,,,
0.1,0.6,,,,
0.4,0.3,,,,
0.4,0.1,,,,
0.2,0.1,,,,
0.5,0.2,,,,
0.4,0.5,,,,
0.2,0.1,,,,
0.6,0.2,,,,
0.5,0.4,,,,
0.6,0.6,,,,
0.2,0.2,,,,
0.3,0.4,,,,
0.2,0.2,,,,
0.2,0.1,,,,
0.4,0.2,,,,
0.5,0.2,,,,
0.3,0.1,,,,
0.1,0.0,,,,
0.3,0.3,,,,
0.2,0.2,,,,
0.4,0.3,,,,
0.3,0.1,,,,
,,0.22061191626409019,0.17713365539452497,,
,,,,0.2459807073954984,0.15755627009646303
